Plot_Treatment,Plot_Replicate,Footprint,Plot_ID,Footprint_Full,Days_Since_Irrigation,Sample_Week,Start_Date,Start_Time_EDT,Start_Time_UTC,End_Date,End_Time_EDT,End_Time_UTC,Collector,Comments
T1,R1,D1,T1_R1_D1,Y1 Drought (soy),1,1,2021-07-07,10:58,14:58,2021-07-09,11:29,15:29,RM,not deep enough
T1,R1,IR,T1_R1_IR,Control (irrigated),1,1,2021-07-07,NA,NA,2021-07-09,11:31,15:31,HS,
T1,R1,VR,T1_R1_VR,Variable Rainfall,1,1,2021-07-07,10:57,14:57,2021-07-09,11:27,15:27,JDS,
T1,R2,D1,T1_R2_D1,Y1 Drought (soy),1,1,2021-07-07,10:29,14:29,2021-07-09,10:57,14:57,RM,
T1,R2,IR,T1_R2_IR,Control (irrigated),1,1,2021-07-07,10:26,14:26,2021-07-09,10:54,14:54,HS,hammered down after collecting
T1,R2,VR,T1_R2_VR,Variable Rainfall,1,1,2021-07-07,10:28,14:28,2021-07-09,10:58,14:58,JDS,
T1,R3,D1,T1_R3_D1,Y1 Drought (soy),0,1,2021-07-06,10:25,14:25,2021-07-08,10:33,14:33,RM,
T1,R3,IR,T1_R3_IR,Control (irrigated),0,1,2021-07-06,10:22,14:22,2021-07-08,10:30,14:30,AMS,
T1,R3,VR,T1_R3_VR,Variable Rainfall,0,1,2021-07-06,10:20,14:20,2021-07-08,10:32,14:32,JDS,
T1,R4,D1,T1_R4_D1,Y1 Drought (soy),0,1,2021-07-06,10:42,14:42,2021-07-08,10:47,14:47,RM,not deep enough?
T1,R4,IR,T1_R4_IR,Control (irrigated),0,1,2021-07-06,10:43,14:43,2021-07-08,10:49,14:49,AMS,
T1,R4,VR,T1_R4_VR,Variable Rainfall,0,1,2021-07-06,10:42,14:42,2021-07-08,10:51,14:51,JDS,
T2,R1,D1,T2_R1_D1,Y1 Drought (soy),1,1,2021-07-07,10:06,14:06,2021-07-09,10:33,14:33,RM,hammered down after collecting
T2,R1,IR,T2_R1_IR,Control (irrigated),1,1,2021-07-07,10:02,14:02,2021-07-09,10:38,14:38,HS,"buried; fell over, no data, found tube"
T2,R1,VR,T2_R1_VR,Variable Rainfall,1,1,2021-07-07,10:04,14:04,2021-07-09,10:36,14:36,JDS,in between rows
T2,R3,D1,T2_R3_D1,Y1 Drought (soy),0,1,2021-07-06,11:01,15:01,2021-07-08,11:07,15:07,RM,not deep enough
T2,R3,IR,T2_R3_IR,Control (irrigated),0,1,2021-07-06,11:08,15:08,2021-07-08,11:05,15:05,AMS,"buried, couldn't find PVC "
T2,R3,VR,T2_R3_VR,Variable Rainfall,0,1,2021-07-06,11:02,15:02,2021-07-08,11:03,15:03,JDS,
T2,R4,D1,T2_R4_D1,Y1 Drought (soy),1,1,2021-07-07,10:42,14:42,2021-07-09,11:10,15:10,RM,
T2,R4,IR,T2_R4_IR,Control (irrigated),1,1,2021-07-07,10:38,14:38,2021-07-09,11:07,15:07,HS,hammered down after collecting
T2,R4,VR,T2_R4_VR,Variable Rainfall,1,1,2021-07-07,10:40,14:40,2021-07-09,11:11,15:11,JDS,not deep enough
T2,R6,D1,T2_R6_D1,Y1 Drought (soy),0,1,2021-07-06,10:03,14:03,2021-07-08,10:17,14:17,RM,
T2,R6,IR,T2_R6_IR,Control (irrigated),0,1,2021-07-06,10:02,14:02,2021-07-08,10:18,14:18,AMS,"cornstalk fell in, insects could have crawled out"
T2,R6,VR,T2_R6_VR,Variable Rainfall,0,1,2021-07-06,10:03,14:03,2021-07-08,10:15,14:15,JDS,
T7,R1,D1,T7_R1_D1,Y1 Drought (soy),1,1,2021-07-07,10:50,14:50,2021-07-09,11:17,15:17,RM,hammered down after collecting
T7,R1,IR,T7_R1_IR,Control (irrigated),1,1,2021-07-07,10:49,14:49,2021-07-09,11:20,15:20,HS,hammered down after collecting
T7,R1,VR,T7_R1_VR,Variable Rainfall,1,1,2021-07-07,10:52,14:52,2021-07-09,11:22,15:22,JDS,hammered down after collecting
T7,R2,D1,T7_R2_D1,Y1 Drought (soy),1,1,2021-07-07,10:19,14:19,2021-07-09,10:49,14:49,RM,hammered down after collecting
T7,R2,IR,T7_R2_IR,Control (irrigated),1,1,2021-07-07,10:16,14:16,2021-07-09,10:46,14:46,HS,hammered down after collecting
T7,R2,VR,T7_R2_VR,Variable Rainfall,1,1,2021-07-07,10:19,14:19,2021-07-09,10:44,14:44,JDS,"not deep enough, hammered down after collecting"
T7,R3,D1,T7_R3_D1,Y1 Drought (soy),0,1,2021-07-06,10:50,14:50,2021-07-08,10:55,14:55,RM,"not deep enough, hammered down after collecting"
T7,R3,IR,T7_R3_IR,Control (irrigated),0,1,2021-07-06,10:48,14:48,2021-07-08,10:57,14:57,AMS,hammered down after collecting
T7,R3,VR,T7_R3_VR,Variable Rainfall,0,1,2021-07-06,10:50,14:50,2021-07-08,10:53,14:53,JDS,"not deep enough, hammered down after collecting"
T7,R4,D1,T7_R4_D1,Y1 Drought (soy),0,1,2021-07-06,10:32,14:32,2021-07-08,10:37,14:37,RM,hammered down after collecting
T7,R4,IR,T7_R4_IR,Control (irrigated),0,1,2021-07-06,10:30,14:30,2021-07-08,10:41,14:41,AMS,hammered down after collecting
T7,R4,VR,T7_R4_VR,Variable Rainfall,0,1,2021-07-06,10:32,14:32,2021-07-08,10:39,14:39,JDS,"not deep enough, hammered down after collecting"
T7,R5,D1,T7_R5_D1,Y1 Drought (soy),0,1,2021-07-06,11:15,15:15,2021-07-08,11:13,15:13,RM,"not deep enough, hammered down after collecting"
T7,R5,IR,T7_R5_IR,Control (irrigated),0,1,2021-07-06,11:14,15:14,2021-07-08,11:11,15:11,AMS,"not deep enough, hammered down after collecting"
T7,R5,VR,T7_R5_VR,Variable Rainfall,0,1,2021-07-06,11:15,15:15,2021-07-08,11:16,15:16,JDS,"not deep enough, hammered down after collecting"
T7,R6,D1,T7_R6_D1,Y1 Drought (soy),1,1,2021-07-07,9:52,13:52,2021-07-09,10:23,14:23,RM,on ant hill
T7,R6,IR,T7_R6_IR,Control (irrigated),1,1,2021-07-07,9:48,13:48,2021-07-09,10:22,14:22,HS,
T7,R6,VR,T7_R6_VR,Variable Rainfall,1,1,2021-07-07,9:52,13:52,2021-07-09,10:25,14:25,JDS,
T1,R1,D1,T1_R1_D1,Y1 Drought (soy),4,2,2021-07-13,15:39,19:39,2021-07-15,15:19,19:19,RM,sprinklers on
T1,R1,IR,T1_R1_IR,Control (irrigated),1,2,2021-07-13,15:43,19:43,2021-07-15,15:18,19:18,RM,sprinklers on
T1,R1,VR,T1_R1_VR,Variable Rainfall,6,2,2021-07-13,15:36,19:36,2021-07-15,15:17,19:17,HS,trap partly dug up
T1,R4,D1,T1_R4_D1,Y1 Drought (soy),4,2,2021-07-13,14:48,18:48,2021-07-15,15:04,19:04,RM,
T1,R4,IR,T1_R4_IR,Control (irrigated),1,2,2021-07-13,14:50,18:50,2021-07-15,15:05,19:05,HS,
T1,R4,VR,T1_R4_VR,Variable Rainfall,7,2,2021-07-13,14:46,18:46,2021-07-15,15:05,19:05,HS,
T2,R1,D1,T2_R1_D1,Y1 Drought (soy),4,2,2021-07-13,14:08,18:08,2021-07-15,14:56,18:56,RM,datasheet out of trap
T2,R1,IR,T2_R1_IR,Control (irrigated),1,2,2021-07-13,14:10,18:10,2021-07-15,14:55,18:55,HS,
T2,R1,VR,T2_R1_VR,Variable Rainfall,6,2,2021-07-13,14:06,18:06,2021-07-15,14:56,18:56,HS,datasheet out of trap
T2,R3,D1,T2_R3_D1,Y1 Drought (soy),4,2,2021-07-13,15:25,19:25,2021-07-15,15:14,19:14,HS,
T2,R3,IR,T2_R3_IR,Control (irrigated),1,2,2021-07-13,15:26,19:26,2021-07-15,15:13,19:13,RM,
T2,R3,VR,T2_R3_VR,Variable Rainfall,7,2,2021-07-13,15:30,19:30,2021-07-15,15:14,19:14,HS,
T7,R2,D1,T7_R2_D1,Y1 Drought (soy),4,2,2021-07-13,14:18,18:18,2021-07-15,15:01,19:01,HS,
T7,R2,IR,T7_R2_IR,Control (irrigated),1,2,2021-07-13,14:22,18:22,2021-07-15,14:59,18:59,RM,
T7,R2,VR,T7_R2_VR,Variable Rainfall,6,2,2021-07-13,14:19,18:19,2021-07-15,15:00,19:00,RM,
T7,R5,D1,T7_R5_D1,Y1 Drought (soy),4,2,2021-07-13,15:03,19:03,2021-07-15,15:10,19:10,RM,
T7,R5,IR,T7_R5_IR,Control (irrigated),1,2,2021-07-13,14:59,18:59,2021-07-15,15:10,19:10,RM,sprinklers on for a few minutes
T7,R5,VR,T7_R5_VR,Variable Rainfall,7,2,2021-07-13,14:57,18:57,2021-07-15,15:10,19:10,HS,
T7,R6,D1,T7_R6_D1,Y1 Drought (soy),4,2,2021-07-13,14:00,18:00,2021-07-15,14:51,18:51,RM,stick sticking out
T7,R6,IR,T7_R6_IR,Control (irrigated),1,2,2021-07-13,13:55,17:55,2021-07-15,14:50,18:50,HS,
T7,R6,VR,T7_R6_VR,Variable Rainfall,6,2,2021-07-13,13:56,17:56,2021-07-15,14:50,18:50,RM,
T1,R2,D1,T1_R2_D1,Y1 Drought (soy),6,3,2021-07-21,9:37,13:37,2021-07-23,10:31,14:31,HS,label half outside of trap when collecting
T1,R2,IR,T1_R2_IR,Control (irrigated),6,3,2021-07-21,9:40,13:40,2021-07-23,10:27,14:27,AMS,label outside of trap when collecting
T1,R2,VR,T1_R2_VR,Variable Rainfall,2,3,2021-07-21,9:38,13:38,2021-07-23,10:27,14:27,AMS,
T1,R3,D1,T1_R3_D1,Y1 Drought (soy),2,3,2021-07-19,9:50,13:50,2021-07-21,10:05,14:05,AMS,
T1,R3,IR,T1_R3_IR,Control (irrigated),2,3,2021-07-19,9:42,13:42,2021-07-21,9:54,13:54,AMS,
T1,R3,VR,T1_R3_VR,Variable Rainfall,13,3,2021-07-19,9:46,13:46,2021-07-21,9:56,13:56,AMS,
T2,R4,D1,T2_R4_D1,Y1 Drought (soy),2,3,2021-07-19,10:13,14:13,2021-07-21,10:32,14:32,AMS,
T2,R4,IR,T2_R4_IR,Control (irrigated),2,3,2021-07-19,10:07,14:07,2021-07-21,10:28,14:28,AMS,
T2,R4,VR,T2_R4_VR,Variable Rainfall,12,3,2021-07-19,10:10,14:10,2021-07-21,10:30,14:30,AMS,
T2,R6,D1,T2_R6_D1,Y1 Drought (soy),2,3,2021-07-19,9:34,13:34,2021-07-21,9:39,13:39,AMS,
T2,R6,IR,T2_R6_IR,Control (irrigated),2,3,2021-07-19,9:27,13:27,2021-07-21,9:34,13:34,AMS,
T2,R6,VR,T2_R6_VR,Variable Rainfall,13,3,2021-07-19,9:31,13:31,2021-07-21,9:36,13:36,AMS,
T7,R1,D1,T7_R1_D1,Y1 Drought (soy),6,3,2021-07-21,9:59,13:59,2021-07-23,10:09,14:09,AMS,
T7,R1,IR,T7_R1_IR,Control (irrigated),6,3,2021-07-21,10:00,14:00,2021-07-23,10:09,14:09,HS,
T7,R1,VR,T7_R1_VR,Variable Rainfall,2,3,2021-07-21,10:01,14:01,2021-07-23,10:11,14:11,AMS,
T7,R3,D1,T7_R3_D1,Y1 Drought (soy),6,3,2021-07-21,9:48,13:48,2021-07-23,10:20,14:20,AMS,
T7,R3,IR,T7_R3_IR,Control (irrigated),6,3,2021-07-21,9:51,13:51,2021-07-23,10:18,14:18,AMS,
T7,R3,VR,T7_R3_VR,Variable Rainfall,2,3,2021-07-21,9:49,13:49,2021-07-23,10:17,14:17,HS,
T7,R4,D1,T7_R4_D1,Y1 Drought (soy),2,3,2021-07-19,10:01,14:01,2021-07-21,10:15,14:15,AMS,
T7,R4,IR,T7_R4_IR,Control (irrigated),2,3,2021-07-19,9:55,13:55,2021-07-21,10:11,14:11,AMS,
T7,R4,VR,T7_R4_VR,Variable Rainfall,13,3,2021-07-19,9:59,13:59,2021-07-21,10:13,14:13,AMS,
T1,R1,D1,T1_R1_D1,Y1 Drought (soy),12,4,2021-07-26,11:35,15:35,2021-07-28,10:33,14:33,ECM,
T1,R1,IR,T1_R1_IR,Control (irrigated),3,4,2021-07-26,11:35,15:35,2021-07-28,10:33,14:33,HS,
T1,R1,VR,T1_R1_VR,Variable Rainfall,6,4,2021-07-26,11:35,15:35,2021-07-28,10:32,14:32,ECO,
T1,R2,D1,T1_R2_D1,Y1 Drought (soy),12,4,2021-07-26,10:45,14:45,2021-07-28,10:03,14:03,ECO,
T1,R2,IR,T1_R2_IR,Control (irrigated),3,4,2021-07-26,10:45,14:45,2021-07-28,10:03,14:03,HS,label outside of trap
T1,R2,VR,T1_R2_VR,Variable Rainfall,6,4,2021-07-26,10:49,14:49,2021-07-28,10:03,14:03,HS,
T1,R3,D1,T1_R3_D1,Y1 Drought (soy),11,4,2021-07-26,10:18,14:18,2021-07-28,9:50,13:50,HS,
T1,R3,IR,T1_R3_IR,Control (irrigated),3,4,2021-07-26,10:22,14:22,2021-07-28,9:49,13:49,HS,
T1,R3,VR,T1_R3_VR,Variable Rainfall,4,4,2021-07-26,10:27,14:27,2021-07-28,9:52,13:52,HS,PVC needs to be hammered
T1,R4,D1,T1_R4_D1,Y1 Drought (soy),11,4,2021-07-26,10:57,14:57,2021-07-28,10:08,14:08,HS,
T1,R4,IR,T1_R4_IR,Control (irrigated),3,4,2021-07-26,10:58,14:58,2021-07-28,10:09,14:09,ECO,ethanol spill when removed
T1,R4,VR,T1_R4_VR,Variable Rainfall,4,4,2021-07-26,11:02,15:02,2021-07-28,10:09,14:09,RM,
T2,R1,D1,T2_R1_D1,Y1 Drought (soy),12,4,2021-07-26,9:58,13:58,2021-07-28,9:43,13:43,ECO,
T2,R1,IR,T2_R1_IR,Control (irrigated),3,4,2021-07-26,10:02,14:02,2021-07-28,9:42,13:42,ECO,
T2,R1,VR,T2_R1_VR,Variable Rainfall,6,4,2021-07-26,9:59,13:59,2021-07-28,9:43,13:43,HS,
T2,R3,D1,T2_R3_D1,Y1 Drought (soy),12,4,2021-07-26,11:28,15:28,2021-07-28,10:28,14:28,ECO,
T2,R3,IR,T2_R3_IR,Control (irrigated),3,4,2021-07-26,11:29,15:29,2021-07-28,10:28,14:28,HS,
T2,R3,VR,T2_R3_VR,Variable Rainfall,6,4,2021-07-26,11:29,15:29,2021-07-28,10:27,14:27,RCM,
T2,R4,D1,T2_R4_D1,Y1 Drought (soy),11,4,2021-07-26,11:22,15:22,2021-07-28,10:24,14:24,HS,
T2,R4,IR,T2_R4_IR,Control (irrigated),3,4,2021-07-26,11:23,15:23,2021-07-28,10:24,14:24,RM,
T2,R4,VR,T2_R4_VR,Variable Rainfall,4,4,2021-07-26,11:21,15:21,2021-07-28,10:23,14:23,ECO,
T2,R6,D1,T2_R6_D1,Y1 Drought (soy),11,4,2021-07-26,9:46,13:46,2021-07-28,9:37,13:37,HS,label outside of trap
T2,R6,IR,T2_R6_IR,Control (irrigated),3,4,2021-07-26,9:43,13:43,2021-07-28,9:36,13:36,ECO,
T2,R6,VR,T2_R6_VR,Variable Rainfall,4,4,2021-07-26,9:42,13:42,2021-07-28,9:37,13:37,HS ,
T7,R1,D1,T7_R1_D1,Y1 Drought (soy),12,4,2021-07-26,11:15,15:15,2021-07-28,10:19,14:19,RM,
T7,R1,IR,T7_R1_IR,Control (irrigated),3,4,2021-07-26,11:15,15:15,2021-07-28,10:18,14:18,HS,
T7,R1,VR,T7_R1_VR,Variable Rainfall,6,4,2021-07-26,11:16,15:16,2021-07-28,10:18,14:18,ECO,
T7,R2,D1,T7_R2_D1,Y1 Drought (soy),12,4,2021-07-26,10:09,14:09,2021-07-28,9:47,13:47,ECO,
T7,R2,IR,T7_R2_IR,Control (irrigated),3,4,2021-07-26,10:13,14:13,2021-07-28,9:46,13:46,HS,
T7,R2,VR,T7_R2_VR,Variable Rainfall,6,4,2021-07-26,10:09,14:09,2021-07-28,9:46,13:46,HS,
T7,R3,D1,T7_R3_D1,Y1 Drought (soy),12,4,2021-07-26,11:08,15:08,2021-07-28,10:13,14:13,HS,
T7,R3,IR,T7_R3_IR,Control (irrigated),3,4,2021-07-26,11:08,15:08,2021-07-28,10:13,14:13,ECO,
T7,R3,VR,T7_R3_VR,Variable Rainfall,6,4,2021-07-26,11:09,15:09,2021-07-28,10:15,14:15,RM,
T7,R4,D1,T7_R4_D1,Y1 Drought (soy),11,4,2021-07-26,10:34,14:34,2021-07-28,9:59,13:59,ECO,
T7,R4,IR,T7_R4_IR,Control (irrigated),3,4,2021-07-26,10:35,14:35,2021-07-28,10:00,14:00,HS,
T7,R4,VR,T7_R4_VR,Variable Rainfall,4,4,2021-07-26,10:37,14:37,2021-07-28,9:58,13:58,ECO,
T7,R5,D1,T7_R5_D1,Y1 Drought (soy),11,4,2021-07-26,11:41,15:41,2021-07-28,10:38,14:38,HS,
T7,R5,IR,T7_R5_IR,Control (irrigated),3,4,2021-07-26,11:41,15:41,2021-07-28,10:37,14:37,ECO ,
T7,R5,VR,T7_R5_VR,Variable Rainfall,4,4,2021-07-26,11:42,15:42,2021-07-28,10:37,14:37,RCM,
T7,R6,D1,T7_R6_D1,Y1 Drought (soy),11,4,2021-07-26,9:29,13:29,2021-07-28,9:32,13:32,ECO,
T7,R6,IR,T7_R6_IR,Control (irrigated),3,4,2021-07-26,9:28,13:28,2021-07-28,9:30,13:30,HS,
T7,R6,VR,T7_R6_VR,Variable Rainfall,4,4,2021-07-26,9:34,13:34,2021-07-28,9:31,13:31,HS,
T1,R1,D1,T1_R1_D1,Y1 Drought (soy),18,5,2021-08-02,10:53,14:53,2021-08-04,10:43,14:43,HS,label sticking out
T1,R1,IR,T1_R1_IR,Control (irrigated),4,5,2021-08-02,10:49,14:49,2021-08-04,10:40,14:40,HS,label sticking out
T1,R1,VR,T1_R1_VR,Variable Rainfall,13,5,2021-08-02,10:47,14:47,2021-08-04,10:40,14:40,RM,
T1,R2,D1,T1_R2_D1,Y1 Drought (soy),18,5,2021-08-02,10:01,14:01,2021-08-04,10:11,14:11,HS,
T1,R2,IR,T1_R2_IR,Control (irrigated),4,5,2021-08-02,10:02,14:02,2021-08-04,10:12,14:12,RM,
T1,R2,VR,T1_R2_VR,Variable Rainfall,13,5,2021-08-02,9:59,13:59,2021-08-04,10:10,14:10,RM,
T2,R3,D1,T2_R3_D1,Y1 Drought (soy),18,5,2021-08-02,10:25,14:25,2021-08-04,10:25,14:25,RM,
T2,R3,IR,T2_R3_IR,Control (irrigated),4,5,2021-08-02,10:28,14:28,2021-08-04,10:27,14:27,RM,
T2,R3,VR,T2_R3_VR,Variable Rainfall,11,5,2021-08-02,10:27,14:27,2021-08-04,10:25,14:25,HS,label sticking out
T2,R6,D1,T2_R6_D1,Y1 Drought (soy),17,5,2021-08-02,9:29,13:29,2021-08-04,9:50,13:50,RM,
T2,R6,IR,T2_R6_IR,Control (irrigated),3,5,2021-08-02,9:37,13:37,2021-08-04,9:52,13:52,HS,
T2,R6,VR,T2_R6_VR,Variable Rainfall,11,5,2021-08-02,9:32,13:32,2021-08-04,9:51,13:51,HS,label sticking out
T7,R3,D1,T7_R3_D1,Y1 Drought (soy),18,5,2021-08-02,10:14,14:14,2021-08-04,10:19,14:19,HS,
T7,R3,IR,T7_R3_IR,Control (irrigated),4,5,2021-08-02,10:19,14:19,2021-08-04,10:22,14:22,HS,label sticking out
T7,R3,VR,T7_R3_VR,Variable Rainfall,13,5,2021-08-02,10:12,14:12,2021-08-04,10:19,14:19,RM,
T7,R5,D1,T7_R5_D1,Y1 Drought (soy),17,5,2021-08-02,10:38,14:38,2021-08-04,10:34,14:34,HS,label sticking out
T7,R5,IR,T7_R5_IR,Control (irrigated),3,5,2021-08-02,10:39,14:39,2021-08-04,10:33,14:33,RM,
T7,R5,VR,T7_R5_VR,Variable Rainfall,11,5,2021-08-02,10:35,14:35,2021-08-04,10:32,14:32,RM,
T7,R6,D1,T7_R6_D1,Y1 Drought (soy),17,5,2021-08-02,9:46,13:46,2021-08-04,9:59,13:59,HS,
T7,R6,IR,T7_R6_IR,Control (irrigated),3,5,2021-08-02,9:50,13:50,2021-08-04,9:59,13:59,HS,label sticking out
T7,R6,VR,T7_R6_VR,Variable Rainfall,11,5,2021-08-02,9:44,13:44,2021-08-04,10:00,14:00,RM,PVC sticking out/trap was sticking out
T1,R3,D1,T1_R3_D1,Y1 Drought (soy),25,6,2021-08-09,10:09,14:09,2021-08-11,10:10,14:10,JDS,
T1,R3,IR,T1_R3_IR,Control (irrigated),4,6,2021-08-09,10:06,14:06,2021-08-11,10:13,14:13,ECO,
T1,R3,VR,T1_R3_VR,Variable Rainfall,18,6,2021-08-09,10:06,14:06,2021-08-11,10:11,14:11,JDS,
T1,R4,D1,T1_R4_D1,Y1 Drought (soy),25,6,2021-08-09,9:40,13:40,2021-08-11,9:51,13:51,JDS,
T1,R4,IR,T1_R4_IR,Control (irrigated),4,6,2021-08-09,9:47,13:47,2021-08-11,9:52,13:52,JDS,
T1,R4,VR,T1_R4_VR,Variable Rainfall,18,6,2021-08-09,9:43,13:43,2021-08-11,9:55,13:55,ECO,
T2,R4,D1,T2_R4_D1,Y1 Drought (soy),25,6,2021-08-09,9:31,13:31,2021-08-11,9:43,13:43,ECO ,
T2,R4,IR,T2_R4_IR,Control (irrigated),4,6,2021-08-09,9:33,13:33,2021-08-11,9:42,13:42,JDS,
T2,R4,VR,T2_R4_VR,Variable Rainfall,18,6,2021-08-09,9:36,13:36,2021-08-11,9:45,13:45,ECO,
T7,R4,D1,T7_R4_D1,Y1 Drought (soy),25,6,2021-08-09,9:59,13:59,2021-08-11,10:05,14:05,ECO ,
T7,R4,IR,T7_R4_IR,Control (irrigated),4,6,2021-08-09,9:55,13:55,2021-08-11,10:05,14:05,JDS,
T7,R4,VR,T7_R4_VR,Variable Rainfall,18,6,2021-08-09,9:56,13:56,2021-08-11,10:06,14:06,ECO,
T2,R1,D1,T2_R1_D1,Y1 Drought (soy),27,7,2021-08-11,10:32,14:32,2021-08-13,10:17,14:17,HS,
T2,R1,IR,T2_R1_IR,Control (irrigated),7,7,2021-08-11,10:36,14:36,2021-08-13,10:17,14:17,RM,"irrigation was on, water in trap"
T2,R1,VR,T2_R1_VR,Variable Rainfall,1,7,2021-08-11,10:31,14:31,2021-08-13,10:19,14:19,JDS,
T7,R1,D1,T7_R1_D1,Y1 Drought (soy),27,7,2021-08-11,9:31,13:31,2021-08-13,10:02,14:02,JDS,
T7,R1,IR,T7_R1_IR,Control (irrigated),7,7,2021-08-11,9:32,13:32,2021-08-13,10:00,14:00,RM,"irrigation was on, water in trap"
T7,R1,VR,T7_R1_VR,Variable Rainfall,1,7,2021-08-11,9:34,13:34,2021-08-13,10:03,14:03,JDS,
T7,R2,D1,T7_R2_D1,Y1 Drought (soy),27,7,2021-08-11,10:18,14:18,2021-08-13,10:12,14:12,JDS,
T7,R2,IR,T7_R2_IR,Control (irrigated),7,7,2021-08-11,10:19,14:19,2021-08-13,10:10,14:10,RM,"irrigation was on, water in trap"
T7,R2,VR,T7_R2_VR,Variable Rainfall,1,7,2021-08-11,10:23,14:23,2021-08-13,10:11,14:11,HS,
T1,R2,D1,T1_R2_D1,Y1 Drought (soy),32,8,2021-08-16,10:02,14:02,2021-08-18,10:32,14:32,JDS,
T1,R2,IR,T1_R2_IR,Control (irrigated),3,8,2021-08-16,10:06,14:06,2021-08-18,10:29,14:29,ECO,
T1,R2,VR,T1_R2_VR,Variable Rainfall,6,8,2021-08-16,10:02,14:02,2021-08-18,10:35,14:35,ECO,
T1,R3,D1,T1_R3_D1,Y1 Drought (soy),32,8,2021-08-16,9:53,13:53,2021-08-18,10:17,14:17,JDS,
T1,R3,IR,T1_R3_IR,Control (irrigated),3,8,2021-08-16,9:50,13:50,2021-08-18,10:20,14:20,ECO,
